Date,Lower Bound,Median,Upper Bound
1.Jan.67,0.957708432,1.619753465,2.263888002
1.Apr.67,0.910675838,1.57279546,2.195721296
1.Jul.67,0.818988296,1.568527819,2.298134508
1.Oct.67,0.734887672,1.562405824,2.359182712
1.Jan.68,0.665820447,1.580209684,2.48334492
1.Apr.68,0.636660431,1.597336885,2.550666302
1.Jul.68,0.693908205,1.546201148,2.378908602
1.Oct.68,0.681870234,1.538597473,2.370401815
1.Jan.69,0.72052878,1.604188561,2.505032937
1.Apr.69,0.65437607,1.663755029,2.73447717
1.Jul.69,0.699883767,1.658926713,2.686493002
1.Oct.69,0.709905901,1.616356042,2.558438774
1.Jan.70,0.741962544,1.607685716,2.500154546
1.Apr.70,0.734614472,1.575843892,2.420155724
1.Jul.70,0.723282696,1.538509088,2.336614098
1.Oct.70,0.540626622,1.434709033,2.266931996
1.Jan.71,0.568555351,1.429902438,2.224337995
1.Apr.71,0.6182688,1.490526288,2.32538899
1.Jul.71,0.725072653,1.553236381,2.372932189
1.Oct.71,0.88691474,1.555829108,2.184565616
1.Jan.72,0.79029977,1.512311883,2.198370898
1.Apr.72,0.825669582,1.615422964,2.392949903
1.Jul.72,0.834860685,1.605000872,2.367984213
1.Oct.72,0.868476017,1.634726264,2.412868431
1.Jan.73,0.801062615,1.676737631,2.594269355
1.Apr.73,0.428441269,1.580622122,2.747177164
1.Jul.73,0.218178656,1.581051794,2.99923341
1.Oct.73,0.356839482,1.506481049,2.646628919
1.Jan.74,0.176471057,1.376336295,2.5267885
1.Apr.74,-0.532147484,1.258319873,3.010345816
1.Jul.74,-0.862202441,1.134898653,3.059354221
1.Oct.74,-0.453331217,1.093594873,2.488955173
1.Jan.75,-0.164453974,1.155679691,2.196064273
1.Apr.75,0.159342844,1.261309713,2.199908122
1.Jul.75,0.270887466,1.353625278,2.400985854
1.Oct.75,0.239451879,1.335034963,2.376592984
1.Jan.76,0.294866987,1.362810491,2.386872476
1.Apr.76,0.473038181,1.437075835,2.367872782
1.Jul.76,0.35068004,1.378828058,2.367930438
1.Oct.76,0.299146764,1.345506404,2.350200375
1.Jan.77,0.239539385,1.341574668,2.407176051
1.Apr.77,0.321021599,1.407164584,2.473082261
1.Jul.77,0.32162147,1.415734161,2.50015271
1.Oct.77,0.434509144,1.468944549,2.495149865
1.Jan.78,0.458569653,1.478402223,2.497374885
1.Apr.78,0.428378742,1.562074863,2.758273031
1.Jul.78,0.444093974,1.569031814,2.751185952
1.Oct.78,0.457415299,1.658848689,2.971799277
1.Jan.79,0.69428628,1.678367124,2.753404355
1.Apr.79,0.431778334,1.616501654,2.886775795
1.Jul.79,0.540581948,1.720652975,3.049926759
1.Oct.79,0.551755102,1.877202626,3.52453204
1.Jan.80,0.48113678,1.88952576,3.632328202
1.Apr.80,0.482145418,1.617686403,2.771313265
1.Jul.80,0.479178529,1.588280484,2.66311236
1.Oct.80,0.752507536,2.263455833,4.395135216
1.Jan.81,0.937239324,2.145854673,3.791087959
1.Apr.81,1.118090781,2.249761439,3.881754842
1.Jul.81,1.23117801,2.255024022,3.734747818
1.Oct.81,1.041284038,1.855865893,2.73398059
1.Jan.82,1.323152891,2.214389787,3.453519523
1.Apr.82,1.432516788,2.307851995,3.571583744
1.Jul.82,1.171303658,1.892132875,2.67109662
1.Oct.82,1.25054878,1.96216956,2.764508769
1.Jan.83,1.378017766,2.077718718,2.917882553
1.Apr.83,1.521517642,2.171075579,2.974228273
1.Jul.83,1.528482193,2.299337906,3.300991068
1.Oct.83,1.59488908,2.293988096,3.205689167
1.Jan.84,1.627107719,2.345660442,3.298354161
1.Apr.84,1.675007991,2.478517882,3.623076175
1.Jul.84,1.671802192,2.43127592,3.505222878
1.Oct.84,1.519159129,2.113653701,2.828544009
1.Jan.85,1.510870176,2.156498145,2.935442773
1.Apr.85,1.535276108,2.144515249,2.875548204
1.Jul.85,1.606830373,2.250585822,3.050083823
1.Oct.85,1.602747292,2.2198315,2.976433607
1.Jan.86,1.533767674,2.138574508,2.849687688
1.Apr.86,1.505224011,2.075102057,2.72746034
1.Jul.86,1.450572915,2.001682003,2.602490903
1.Oct.86,1.546582551,2.122566902,2.798701613
1.Jan.87,1.512933911,2.071855654,2.707454313
1.Apr.87,1.631099432,2.256547122,3.03587735
1.Jul.87,1.586101423,2.196307766,2.927006912
1.Oct.87,1.599902358,2.215606293,2.957207521
1.Jan.88,1.534380389,2.117087412,2.80159878
1.Apr.88,1.60276352,2.239057299,3.018467161
1.Jul.88,1.678507735,2.349705208,3.216117981
1.Oct.88,1.698214885,2.357429654,3.207899824
1.Jan.89,1.780660206,2.487936094,3.443325961
1.Apr.89,1.734872172,2.388661204,3.250876466
1.Jul.89,1.653369491,2.257242795,2.999188934
1.Oct.89,1.6296351,2.232696835,2.968240165
1.Jan.90,1.650468949,2.286863717,3.088092408
1.Apr.90,1.653848692,2.304913993,3.122699022
1.Jul.90,1.607861827,2.226607891,2.980561
1.Oct.90,1.477073795,2.043255795,2.679442202
1.Jan.91,1.294285078,1.85499844,2.423282297
1.Apr.91,1.467619844,2.021350771,2.620946938
1.Jul.91,1.511518293,2.078349312,2.703603317
1.Oct.91,1.352429951,1.907254888,2.476690961
1.Jan.92,1.293123879,1.854150565,2.410237867
1.Apr.92,1.368299383,1.920133859,2.485270332
1.Jul.92,1.227556934,1.792663354,2.346662064
1.Oct.92,1.319769439,1.881221759,2.449476916
1.Jan.93,1.293192729,1.860425168,2.437483088
1.Apr.93,1.308427482,1.881241011,2.465409437
1.Jul.93,1.300467265,1.868618113,2.442735526
1.Oct.93,1.285534214,1.856039211,2.431119209
1.Jan.94,1.396291849,1.964192823,2.56131112
1.Apr.94,1.633176952,2.244472911,2.937144783
1.Jul.94,1.644188747,2.277880841,3.000964708
1.Oct.94,1.712137567,2.384211559,3.172152868
1.Jan.95,1.709393131,2.407600072,3.222966444
1.Apr.95,1.644818414,2.326738783,3.116800557
1.Jul.95,1.622565576,2.309307968,3.09229628
1.Oct.95,1.612788455,2.306483218,3.085829802
1.Jan.96,1.496411669,2.169553056,2.903832108
1.Apr.96,1.622560537,2.327691767,3.12429402
1.Jul.96,1.648329645,2.369679235,3.203819829
1.Oct.96,1.628923711,2.345295018,3.168990768
1.Jan.97,1.57550834,2.300966841,3.113518037
1.Apr.97,1.705617811,2.475451839,3.374489175
1.Jul.97,1.599940453,2.366115352,3.237534331
1.Oct.97,1.552424659,2.311936952,3.171425815
1.Jan.98,1.622110897,2.412173046,3.331024264
1.Apr.98,1.577380688,2.366185827,3.2692764
1.Jul.98,1.675552265,2.496401995,3.467959045
1.Oct.98,1.403035328,2.139357437,2.935354975
1.Jan.99,1.44920631,2.196743352,3.016935192
1.Apr.99,1.476999594,2.219410698,3.048370143
1.Jul.99,1.634303739,2.425158273,3.349772514
1.Oct.99,1.689277384,2.496038195,3.455766685
1.Jan.00,1.656551251,2.457065415,3.413456049
1.Apr.00,1.767980936,2.646637185,3.732849709
1.Jul.00,1.634308985,2.45833532,3.445935405
1.Oct.00,1.593827399,2.400602843,3.355236975
1.Jan.01,1.298135475,2.008987176,2.773629201
1.Apr.01,1.05948734,1.740021001,2.411614915
1.Jul.01,0.807921534,1.503871891,2.163301527
1.Oct.01,0.541843492,1.278721863,1.945451452
1.Jan.02,0.860786437,1.53154227,2.180500341
1.Apr.02,1.09308794,1.749204259,2.420462765
1.Jul.02,0.977481871,1.643225823,2.314059864
1.Oct.02,0.649562733,1.358060878,2.021415533
1.Jan.03,0.746946476,1.434145186,2.093736397
1.Apr.03,0.814953399,1.486687735,2.145128408
1.Jul.03,0.941021994,1.599977296,2.257977217
1.Oct.03,0.967496306,1.628792474,2.293265947
1.Jan.04,0.828855882,1.514498388,2.190891597
1.Apr.04,0.791592537,1.489202227,2.171854287
1.Jul.04,0.983379792,1.643713989,2.322684841
1.Oct.04,1.148959496,1.820909603,2.539252558
1.Jan.05,1.265725924,1.975502578,2.766442055
1.Apr.05,1.261319581,1.966052752,2.746786267
1.Jul.05,1.333208225,2.059883523,2.881060204
1.Oct.05,1.351264456,2.109213072,2.964868284
1.Jan.06,1.526020225,2.343332621,3.314000051
1.Apr.06,1.551243008,2.418976075,3.471344237
1.Jul.06,1.439858098,2.277029949,3.257309655
1.Oct.06,1.321206714,2.120441669,3.019553489
1.Jan.07,1.404303975,2.246496638,3.223757505
1.Apr.07,1.368525569,2.206634848,3.169175932
1.Jul.07,1.38382015,2.234823227,3.219874944
1.Oct.07,1.154293499,1.963096396,2.849709725
1.Jan.08,0.371657608,1.199141747,1.951362795
1.Apr.08,0.387590376,1.196849375,1.943196625
1.Jul.08,0.449934116,1.257113405,2.027028676
1.Oct.08,-1.132485418,0.119003956,1.081875784
1.Jan.09,-0.334968519,0.680940011,1.524153193
1.Apr.09,0.263444137,1.107494657,1.889690558
1.Jul.09,0.418002117,1.219046329,1.989130909
1.Oct.09,0.639274511,1.450651304,2.262304036
1.Jan.10,0.123248197,0.980694972,1.765335443
1.Apr.10,0.05933092,0.922363709,1.706839365
1.Jul.10,0.167060097,0.999447561,1.777126738
1.Oct.10,0.15185849,0.997827161,1.78813521
1.Jan.11,0.258162719,1.114226504,1.928197622
1.Apr.11,0.239601073,1.127571261,1.965852898
1.Jul.11,0.034652559,0.935973642,1.777807237
1.Oct.11,0.020852412,0.904474313,1.720782064
1.Jan.12,0.105090713,1.021445454,1.881691308
1.Apr.12,0.069038807,0.97255221,1.817995949
1.Jul.12,0.007969306,0.896161062,1.724746692
1.Oct.12,0.005696201,0.911130752,1.745985865
1.Jan.13,0.131472137,0.99292715,1.806488903
1.Apr.13,0.19801104,1.028191035,1.83451267
1.Jul.13,0.208311149,1.043892827,1.847970146
1.Oct.13,0.193639993,1.036654794,1.84505325
1.Jan.14,0.009941542,0.884004587,1.695114036
1.Apr.14,0.326211417,1.136470125,1.946741838
1.Jul.14,0.271181308,1.082944064,1.881424615
1.Oct.14,0.146397922,0.975429754,1.770242446
1.Jan.15,0.206984724,1.019437904,1.807446075
1.Apr.15,0.184104303,1.026177273,1.839560803
1.Jul.15,0.237555919,1.068226861,1.878515068
1.Oct.15,0.122677329,0.972663872,1.775611367
1.Jan.16,0.345532213,1.1567569,1.978235544
1.Apr.16,0.176048823,1.036110801,1.864695453
